id,name,mentions,source_books
E05739,电气控制线路,1,
E05783,发电机,1,
E05784,主开关,1,
E05794,电动机,1,
E05868,复励变压器,1,
E05883,电源变压器,1,
E05974,传感器,1,
E05980,变压器,1,
E05981,脉冲变压器,1,
E06058,转换开关,1,
E06209,定子绕组,1,
E06306,调速器,1,
E06519,继电器,1,
E06520,自动开关,1,
E06529,行程开关,1,
E06534,熔断器,1,
E06535,刀开关,1,
E06553,组合开关,1,
E06557,接触器,1,
E06615,热继电器,1,
E06616,压力继电器,1,
E06619,电压继电器,1,
E06622,温度继电器,1,
E06637,时间继电器,1,
E06638,中间继电器,1,
E06745,电动机操作定位开关,1,
E06757,辅助开关,1,
E06768,发电机主开关,1,
E06814,控制器,1,
E06857,电磁阀,1,
E06892,输出继电器,1,
E06913,电机绕组,1,
E06916,直流电动机,1,
E07105,异步电动机,1,
E07351,电枢绕组,1,
E07364,调速开关,1,
E07384,电机辅助绕组,1,
E07400,手按式开关,1,
E07412,转子绕组,1,
E07432,选择程序开关,1,
E07434,电动机绕组,1,
E07441,电动机转子,1,
E07483,通电后电动机,1,
E07484,起动继电器,1,
E07485,温度控制器,1,
E07486,误操作按下化霜按钮,1,
E07489,电动机绕绕组,1,
E07494,重绕电动机绕组,1,
E07500,型温控器,1,
E07517,灯开关,1,
E07520,高低压管路,1,
E07527,用手轻轻移动管路,1,
E07536,冬季把温度控制器,1,
E07559,变压器绕组,1,
E07635,压力开关,1,
E07693,电源开关,1,
E07698,某些转换开关,1,
E07775,自耦变压器,1,
E07804,起动按钮,1,
E07852,停止按钮,1,
E07891,燃油泵,1,
E07952,还有压力继电器,1,
E08007,型分油机,1,
E08027,控制阀,1,
E08068,中大部分剩油排出分油机,1,
E08277,主令控制器,1,
E08282,高速绕组,1,
E08381,制动继电器,1,
E08386,就会发生电动机,1,
E08421,各个熔断器,1,
E08430,风机接触器,1,
E08438,风机电动机,1,
E08512,空气断路器,1,
E08529,零压继电器,1,
