id,name,mentions,source_books
E36873,复励变压器故障,1,
E36895,电源变压器损坏,1,
E36994,微安电流表损坏,1,
E37024,反向漏电,1,
E37031,刀开关漏电,1,
E37053,线圈断路,1,
E37058,短路环断裂,1,
E37061,负载短路,1,
E37062,触头表面严重烧损,1,
E37065,触头过热,1,
E37066,触头严重磨损,1,
E37067,触头磨损,1,
E37068,触头过度磨损,1,
E37069,负载侧短路,1,
E37092,电网短路,1,
E37101,电动机操作定位开关失灵,1,
E37104,线圈短路,1,
E37105,触头表面过分磨损,1,
E37107,辅助开关传动杆断裂,1,
E37195,输出继电器损坏,1,
E37197,输出驱动管漏电,1,
E37206,直流电动机励磁线圈损坏,1,
E37215,电刷磨损,1,
E37285,槽绝缘被损坏,1,
E37309,轴承损坏,1,
E37325,电枢线圈匝间短路,1,
E37326,换向片间短路,1,
E37327,电枢绕组短路,1,
E37328,电枢绕组过热,1,
E37329,长期过载,1,
E37331,发电机外部负载发生短路,1,
E37336,定子绕组断路,1,
E37337,电容器损坏,1,
E37338,转轴严重磨损,1,
E37339,调速开关损坏,1,
E37341,轴承磨损,1,
E37342,绕组匝间短路,1,
E37344,定时器失灵,1,
E37346,部分绕组短路,1,
E37347,电容器短路,1,
E37350,滑板式摇摆机构失灵,1,
E37351,斜齿轮严重磨损,1,
E37358,减速齿轮损坏,1,
E37359,啮合齿轮磨损,1,
E37362,啮合齿轮损坏,1,
E37363,转子绕组短路,1,
E37364,电钻过热,1,
E37370,一般是定位销挡壁断裂,1,
E37373,否则应更换损坏,1,
E37374,传动轮损坏,1,
E37375,电动机绕组局部短路,1,
E37376,电动机转子笼条断路,1,
E37379,定时器局部损坏,1,
E37380,电动机减震装置失效,1,
E37385,洗衣机漏水,1,
E37386,波轮轴密封损坏,1,
E37387,洗衣机漏电,1,
E37393,起动继电器线圈损坏,1,
E37395,电动机绕组损坏,1,
E37396,电动机引线断路,1,
E37397,化霜器损坏,1,
E37398,电动机起动电容器损坏,1,
E37400,电动机绕绕组损坏,1,
E37402,继电器工作失灵,1,
E37405,制冷剂严重泄漏,1,
E37406,有油迹处有泄漏,1,
E37410,电动机绕组短路,1,
E37414,电动机绕组绝缘损坏,1,
E37415,温度控制器绝缘损坏,1,
E37416,电气控制线路绝缘损坏,1,
E37417,感应漏电,1,
E37418,灯开关损坏,1,
E37419,灯泡烧坏,1,
E37421,制冷剂轻度泄漏,1,
E37422,调风门失灵,1,
E37426,制冷剂部分泄漏,1,
E37433,变压器绕组断路,1,
E37434,不易发生断路,1,
E37435,变压器绕组短路,1,
E37454,常常表现为短路,1,
E37487,某些转换开关损坏,1,
E37493,电源开关没有断路,1,
E37533,电动机故障,1,
E37536,没有过载,1,
E37537,本身损坏,1,
E37550,因失压,1,
E37551,无短路,1,
E37570,还有压力继电器失灵,1,
E37598,管路泄漏,1,
E37643,同时失压,1,
E37645,就会发生电动机过热,1,
E37647,电动机过热,1,
E37652,继电器失效,1,
E37659,线圈内部短路,1,
E37686,制动继电器失效,1,
E37707,接触器故障,1,
E37708,线圈回路断路,1,
E37720,制动器线圈有匝间短路,1,
E37722,空气断路,1,
E37733,一般是调速电阻断路,1,
E37744,任何一个运算放大器损坏,1,
E37757,吊货电动机飞车,1,
E37762,补偿网路损坏,1,
E37779,激磁刷尖磨损,1,
E37796,会使电动机运行时过热,1,
E37800,常会发生电动机过热,1,
E37807,掌握线路故障,1,
E37810,电源失压,1,
E37821,管路堵塞,1,
E37923,电机绕组没有发生过热,1,
E37933,主电源空气断路,1,
E37934,控制电源空气断路,1,
E37935,没有发生电动机过载,1,
E37943,合上空气断路,1,
E37969,左压缩机电动机短路,1,
E37970,左压缩机电动机断路,1,
E37971,右压缩机过热,1,
E37973,右压缩机电动机短路,1,
E37975,右压缩机电动机断路,1,
E37976,左压缩机过热,1,
E37978,冷凝器风机电动机断路,1,
E37981,冷凝器电动机低速断路,1,
E37982,供风温度传感器断路,1,
E37984,供风温度传感器短路,1,
E37985,蒸发器电动机高速断路,1,
E37986,回风温度传感器断路,1,
E37988,回风温度传感器短路,1,
E37989,蒸发器电动机低速断路,1,
E37991,蒸发器出口温度传感器断路,1,
E37992,蒸发器出口温度传感器短路,1,
E37994,箱内温度传感器断路,1,
E37996,箱内温度传感器短路,1,
E38025,控制电路保险丝断路,1,
E38026,次级送风温度传感器失灵,1,
E38027,电脑控制器保险丝断路,1,
E38028,初级回风温度传感器失灵,1,
E38029,环境温度传感器失灵,1,
E38030,加热终止温控器失灵,1,
E38031,化霜终止温控器失灵,1,
E38033,加热器失灵,1,
E38034,感温探头电路校对失灵,1,
E38035,压缩机电动机故障,1,
E38036,报警表失灵,1,
E38037,主电源电压传感器失灵,1,
E38038,电脑内部失灵,1,
E38039,初级送风温度传感器失灵,1,
E38057,引起逆功率跳闸,1,
E38061,配电板上主开关跳闸,1,
E38062,主开关跳闸,1,
E38064,航行中主开关突然跳闸,1,
E38067,发电机主开关误动作而跳闸,1,
E38068,又没有发生短路,1,
E38071,加上船舶振动引起失压,1,
E38074,调速器失灵,1,
E38076,也会引起主开关跳闸,1,
E38077,柴油机故障,1,
E38078,失压而跳闸,1,
E38080,引起跳闸,1,
E38081,靠码头装卸货时发生跳闸,1,
E38090,形成输出短路,1,
E38091,调压器整流元件断路,1,
E38092,谐振电容器短路,1,
E38096,失压保护而跳闸,1,
E38098,相有断路,1,
E38099,固定好发电机过热,1,
E38101,转子铁心有否松动轴承过热,1,
E38117,主开关失压脱扣跳闸,1,
E38119,泄漏电,1,
E38179,欠压保护由失压,1,
E38181,过载跳闸,1,
E38183,达到过载跳闸,1,
E38184,才跳闸,1,
E38195,达到过载,1,
E38197,直到开关跳闸,1,
E38198,主开关有延时跳闸,1,
E38203,整定值内跳闸,1,
E38212,控制卡先发出运行机组跳闸,1,
E38216,检测自动开关故障,1,
E38240,故障跳闸,1,
E38242,进行跳闸,1,
E38244,功率后跳闸,1,
E38270,主开关过载,1,
E38276,主开关应能自动瞬时跳闸,1,
E38279,延时跳闸,1,
E38286,油管泄漏,1,
E38310,换向电磁阀故障,1,
E38311,主机遥控系统故障,1,
E38334,起动故障,1,
E38371,测速发电机故障,1,
E38432,回路故障,1,
E38442,试验按钮故障,1,
E38485,这是属于系统故障,1,
E38545,自动空气断路,1,
E38564,形成短路,1,
E38577,电容器爆裂失效,1,
E38598,同时易损坏,1,
E38605,反力弹簧损坏,1,
