source_id,target_id,weight,source_book,page,evidence
E40788,E43448,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",10,"液压传动装置防过载容易,只要在系统中设置安全阀即可,当动力源发生故障时,蓄能器可作应急之用,起安全保护作用,液压元件的运动表面可实现自润滑,使用安全可靠"
E40819,E43437,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",13,"在此期间发生故障可能性较大的部位应加强管理,例:防止杂质入侵、液压油污染、滤油器堵塞、系统连接处的泄漏,以及各机构间的润滑"
E40819,E43460,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",13,"在此期间发生故障可能性较大的部位应加强管理,例:防止杂质入侵、液压油污染、滤油器堵塞、系统连接处的泄漏,以及各机构间的润滑"
E40873,E43437,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",40,"液压油污染严重时,液压系统工作性能变坏,经常出故障,液压元件磨损加剧,寿命缩短,甚至损坏,这些危害主要是污垢颗粒造成的"
E40873,E43478,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",40,"液压油污染严重时,液压系统工作性能变坏,经常出故障,液压元件磨损加剧,寿命缩短,甚至损坏,这些危害主要是污垢颗粒造成的"
E40874,E43437,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",40,"液压油污染严重时,液压系统工作性能变坏,经常出故障,液压元件磨损加剧,寿命缩短,甚至损坏,这些危害主要是污垢颗粒造成的"
E40874,E43478,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",40,"液压油污染严重时,液压系统工作性能变坏,经常出故障,液压元件磨损加剧,寿命缩短,甚至损坏,这些危害主要是污垢颗粒造成的"
E40905,E43499,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",42,"微振磨损,即振幅在$10^{-7}\sim10^{-3}$mm的振动性滑动所引起的轻度磨损"
E40953,E43544,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",59,"胶垫,采用金属的主要有铜垫片、铝垫片、空心金属O形圈、组合垫圈等,静密封装置可以实现无泄漏的绝对密封"
E40955,E43545,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",59,"密封元件本身磨损小,使用寿命长,轻微磨损时能在一定程度上实现自动补偿,而且具有适当的机械强度"
E40955,E43546,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",59,"密封元件本身磨损小,使用寿命长,轻微磨损时能在一定程度上实现自动补偿,而且具有适当的机械强度"
E40956,E43545,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",59,"密封元件本身磨损小,使用寿命长,轻微磨损时能在一定程度上实现自动补偿,而且具有适当的机械强度"
E40956,E43546,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",59,"密封元件本身磨损小,使用寿命长,轻微磨损时能在一定程度上实现自动补偿,而且具有适当的机械强度"
E40963,E43550,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",62,"$Y_{x}$形密封圈适用于对偶零件有相对直线运动的密封,它的密封性能是靠密封圈长脚唇边口预压缩量贴紧沟槽底面和短脚唇边口预压缩量与相对滑动面接触而密封,在无液体压力的情况下,它的密封性能取决于压缩量,在液体压力作用下,密封圈两唇边张开,并贴紧相对滑动面及沟槽底面,使密封能力提高,同时能补偿磨损"
E40969,E43553,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",66,"具有外部泄漏的减压阀、平衡阀、电磁阀等的泄油口与回油管连通时不允许有背压,否则应单独接回油箱,以免影响阀的正常工作"
E40977,E43561,7,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",73,"将溢流阀徐徐调节到规定压力值,检查溢流阀在调节过程中有无异常现象;检查安全保护装置(例如安全阀、压力继电器)工作的正确性和可靠性,从压力表上观察各油路的压力,并调整安全保护装置的压力值在规定范围内;检查各液压元件及管道的外泄漏、内泄漏是否在允许范围内;并检查油箱液位的变化是否在规定要求之内"
E40992,E43571,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",75,"液压泵发生故障的另一个症状是过热,气蚀会产生过热,因为泵压到一定程度时,会压缩油液空穴中的气体而产生过热"
E40999,E43575,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E40999,E43576,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E40999,E43577,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E37053,E43199,1,船舶电气设备维修指南,79,"故障现象故障原因处理方法(一)按下启动按钮,接触器吸不上或吸力不足,伴有嗡鸣声1电源电压过低或波动大1用万用表测量线圈两端电压,是否低于产品规定85%额定电压2更换操作电源3更换线圈4卸下灭弧罩后,按动衡铁,看是否能灵活带动触头,如不灵活,排除相应故障,拆下有关零件去锈加油,紧固校正或更换变形或损坏零件5更换与线路额定电压一样的线圈6调整衔铁气隙(二)接触器吸不上1电源断线2线圈断路1用万用表测线"
E37053,E43210,1,船舶电气设备维修指南,79,"故障现象故障原因处理方法(一)按下启动按钮,接触器吸不上或吸力不足,伴有嗡鸣声1电源电压过低或波动大1用万用表测量线圈两端电压,是否低于产品规定85%额定电压2更换操作电源3更换线圈4卸下灭弧罩后,按动衡铁,看是否能灵活带动触头,如不灵活,排除相应故障,拆下有关零件去锈加油,紧固校正或更换变形或损坏零件5更换与线路额定电压一样的线圈6调整衔铁气隙(二)接触器吸不上1电源断线2线圈断路1用万用表测线"
E37053,E43211,1,船舶电气设备维修指南,79,"故障现象故障原因处理方法(一)按下启动按钮,接触器吸不上或吸力不足,伴有嗡鸣声1电源电压过低或波动大1用万用表测量线圈两端电压,是否低于产品规定85%额定电压2更换操作电源3更换线圈4卸下灭弧罩后,按动衡铁,看是否能灵活带动触头,如不灵活,排除相应故障,拆下有关零件去锈加油,紧固校正或更换变形或损坏零件5更换与线路额定电压一样的线圈6调整衔铁气隙(二)接触器吸不上1电源断线2线圈断路1用万用表测线"
E37053,E43212,1,船舶电气设备维修指南,79,"故障现象故障原因处理方法(一)按下启动按钮,接触器吸不上或吸力不足,伴有嗡鸣声1电源电压过低或波动大1用万用表测量线圈两端电压,是否低于产品规定85%额定电压2更换操作电源3更换线圈4卸下灭弧罩后,按动衡铁,看是否能灵活带动触头,如不灵活,排除相应故障,拆下有关零件去锈加油,紧固校正或更换变形或损坏零件5更换与线路额定电压一样的线圈6调整衔铁气隙(二)接触器吸不上1电源断线2线圈断路1用万用表测线"
E37053,E43214,1,船舶电气设备维修指南,79,"故障现象故障原因处理方法(一)按下启动按钮,接触器吸不上或吸力不足,伴有嗡鸣声1电源电压过低或波动大1用万用表测量线圈两端电压,是否低于产品规定85%额定电压2更换操作电源3更换线圈4卸下灭弧罩后,按动衡铁,看是否能灵活带动触头,如不灵活,排除相应故障,拆下有关零件去锈加油,紧固校正或更换变形或损坏零件5更换与线路额定电压一样的线圈6调整衔铁气隙(二)接触器吸不上1电源断线2线圈断路1用万用表测线"
