source_id,target_id,weight,source_book,page,evidence
E43964,E06058,1,船舶电气设备维修指南,33,"其中:转换开关,是用来选择万用表测试功能,一般的数字式万用表具有:测量直流电压(DCV),交流电压(ACV),直流电流(DCA),交流电流(ACA),电阻(Ω),二极管的正向压降(VF),三极管的共发射极电流的放大倍数($h_{FE}$),以及电容等"
E46794,E05794,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E46794,E09001,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E46794,E22465,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E46794,E22466,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E44415,E05794,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E44415,E21779,4,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E46849,E05794,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E46849,E21779,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
E46854,E05794,3,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",86,"故障产生原因排除方法泵不排油或排1.电动机转向接反2.滤油器或吸油管道堵塞3.连接部位有泄漏,空气侵入泵内4.油液粘度过大,温升太高5.零件磨损,间隙增大,泄漏较大6.泵的转速太低7.油箱中油位太低8.溢流阀有故障1.更换接头(线),改变电机转向2.拆洗滤油器及管道或更换油液3.检查,并紧固有关的螺纹连接件或更换密封件,严防空气侵入4.根据温升实际情况,选择适当粘度的油液5.检查有关磨损零件,进行"
