id,name,mentions,source_books
E43964,测量直流电压,1,
E43971,更换线路,1,
E44081,测量线圈两端电压,1,
E44090,调整电源电压,1,
E44104,调整触头压力,1,
E44129,更换热继电器,1,
E44140,更换整个继电器,1,
E44154,检查线路,1,
E44160,更换连杆,1,
E44313,更换绕组,1,
E44327,检查电源线路,1,
E44329,更换轴承,1,
E44334,检修调速开关,1,
E44336,检查电源电压,1,
E44338,清洗轴承,1,
E44361,更换电刷,1,
E44362,调整弹簧压力,1,
E44364,检查电枢绕组,1,
E44377,调整电刷压力,1,
E44387,更换损坏绕组,1,
E44415,调整间隙,1,
E44416,更换排水管,1,
E44428,更换温度控制器,1,
E44429,检修温度控制器,1,
E44435,更换过滤器,1,
E44446,检修线路,1,
E44452,检修电动机,1,
E44454,检修调整灯开关,1,
E44456,修理电动机,1,
E44465,测量绕组绝缘电阻,1,
E44556,检查时间继电器,1,
E44577,冲洗分油机,1,
E44578,冲洗水进入分油机,1,
E44582,检查起动按钮,1,
E44598,复位按钮,1,
E44604,检查按钮,1,
E44647,检查各时间继电器,1,
E44665,检查制动接触器,1,
E44669,检查风机接触器,1,
E44674,检查故障方向的继电器,1,
E44675,检查故障方向的接触器,1,
E44678,检查接触器,1,
E44680,检查熔断器,1,
E44689,检查电动机,1,
E44728,检查风门开关,1,
E44729,检查主接触器,1,
E44743,调整负载继电器,1,
E44752,检查异步机控制线路,1,
E44753,检查过流继电器,1,
E44755,检查直流电动机激磁回路,1,
E44760,测量绝缘电阻,1,
E44771,检查电磁阀,1,
E44824,检查切换开关,1,
E44828,检查自整角机激磁电压,1,
E44831,检查电源熔断器,1,
E44876,检查点火棒间隙,1,
E44880,检查点火系统的绝缘,1,
E44881,检查各电动机绝缘电阻,1,
E44901,检查自动转换开关,1,
E44914,检查调节开关,1,
E44935,检查线圈回路的各触点,1,
E44936,检查供液电磁阀,1,
E44937,检查融霜中间继电器,1,
E44942,检查左压缩机电动机,1,
E44943,检查右压缩机电动机,1,
E44960,测试电流,1,
E44964,测量定子绕组绝缘,1,
E44977,更换新电刷,1,
E44979,检查轴承,1,
E44983,检查发电机绝缘电阻,1,
E45038,修理电刷,1,
E45043,检查励磁绕组,1,
E45058,检修调速器,1,
E45060,修复短路的绕组,1,
E45063,更换空气过滤网,1,
E45070,检查检测回路输出电压,1,
E45071,检查比较回路输出电压,1,
E45073,检查检测信号输出回路,1,
E45077,测量变压器,1,
E45083,检查充磁回路,1,
E45093,检查发电机本身激磁回路,1,
E45094,检查激磁主回路,1,
E45218,测量发电机,1,
E45221,测量三相电压,1,
E45282,测试开关,1,
E45292,排除后把拨动开关,1,
E45351,检查传输电缆,1,
E45360,更换液晶显示器的电缆,1,
E45411,检查开关,1,
E45509,调整触头弹簧压力,1,
E45602,检查停止按钮,1,
E45611,检查启动按钮,1,
E45621,测量时会有一定的电压,1,
E45746,检查变压器,1,
E45759,检查交流接触器,1,
E45794,调整了柴油机的转速,1,
E45796,调整发电机的端电压,1,
E45817,调整电压,1,
E45864,检查主机,1,
E45866,更换缸套,1,
E45903,冲洗时主机转速,1,
E45980,清洗空气滤网,1,
E46014,清洗机油滤器,1,
E46060,测量轴承间隙,1,
E46076,测量主轴承间隙,1,
E46088,修理主机,1,
E46098,修理曲轴,1,
E46101,检查主轴承,1,
E46126,清洗滤器,1,
E46141,清洗一次低温淡水冷却器,1,
E46246,检查冷却水的压力,1,
E46541,测量各部间隙,1,
E46642,检查管接头,1,
E46667,更换滤器,1,
E46794,更换液压系统,1,
E46849,更换接头,1,
E46854,检查溢流阀的阀芯,1,
E46871,更换定子,1,
E46927,更换活塞,1,
E46943,紧固接头,1,
E46955,更换油液振动噪声,1,
E46957,紧固回油路接头,1,
E46963,清洗进口滤器,1,
E46991,更换流量较大的单向阀,1,
E46992,更换带有卸荷装置的单向阀,1,
E47012,更换规格合适的电液换向阀,1,
E47148,调整液压系统,1,
E47157,检查换向阀,1,
E47158,检查安全溢流阀,1,
E47207,检查压力,1,
E47221,调整压力,1,
E47223,检查控制设备无工作压力,1,
E47236,检查电气控制器,1,
E47262,清洗吸油滤器,1,
E47293,检查控制油路,1,
E47309,测量元件接头,1,
E47494,冲洗管路,1,
E47597,更换阀芯,1,
E47651,检查起升油路中安全阀,1,
E47766,补充充电的电流,1,
E47811,调整励磁电流,1,
E47834,调整发电机的电压,1,
E47836,调整特性是指发电机端电压,1,
E47865,测量每台发电机的有功功率,1,
E47866,测量三相电功率,1,
E47890,测量传感器,1,
E47926,测量线路的绝缘电阻,1,
E47944,更换启辉器镇流器有噪声,1,
E47966,校正电刷压力,1,
E47970,检查换向极绕组,1,
E47985,测量绕组对地绝缘电阻,1,
E48044,测量其绝缘电阻,1,
E48168,测量发电机的空载端电压,1,
E48175,测量被试发电机电压,1,
E48183,测量触头两边电压,1,
E48196,检查各继电器,1,
E48207,检查控制屏上的继电器,1,
E48234,测量出水柜的压力,1,
E48279,更换新接触器,1,
E48306,检查油位,1,
E48312,清洗检查冷却系统,1,
E48444,调整功率,1,
E48540,修复油温加热温度开关,1,
E48551,检查燃油管路,1,
E48553,检查过滤器,1,
