source_id,target_id,weight,source_book,page,evidence
E36994,E48759,1,船舶电气设备维修指南,40,造成该故障的原因:微安电流表损坏、整流器开路、温度补偿电阻开路以及二次线圈断路等等
E37024,E48815,1,船舶电气设备维修指南,59,"参数名称定义参数名称定义$I_{F}$最大整流电流二极管长期运行时,允许通过的最大正向平均电流(直流分量)$U_{R}$最高反向工作电压允许长期加在二极管反向的恒定电压值$U_{F}$正向电压降二极管通过额定正向电流($I_{F}$)时,在管子两间产生的电压降(平均值)$I_{PSM}$不重复正向浪涌电流一种由于电路异常情况(如故障)引起的、并使结温超过额定结温的不重复性最大正向载电流$I_{R}"
E37024,E48820,1,船舶电气设备维修指南,59,"参数名称定义参数名称定义$I_{F}$最大整流电流二极管长期运行时,允许通过的最大正向平均电流(直流分量)$U_{R}$最高反向工作电压允许长期加在二极管反向的恒定电压值$U_{F}$正向电压降二极管通过额定正向电流($I_{F}$)时,在管子两间产生的电压降(平均值)$I_{PSM}$不重复正向浪涌电流一种由于电路异常情况(如故障)引起的、并使结温超过额定结温的不重复性最大正向载电流$I_{R}"
E37031,E48904,1,船舶电气设备维修指南,74,代号HRDKCQJLZBTMA名称刀开关和刀形转换开关熔断器断路器控制器接触器起动器控制继电器主令电器电阻器变阻器调整器电磁铁其他A按钮式按钮B板形元件触电保护器C插入式电磁式冲片元件旋臂式插销D刀开关漏电铁铬铝带型元件电压信号灯EFG鼓形高压管形元件H封闭式负荷开关汇流排式接线盒J交流减压接近开关K开启式负荷开关真空主令控制器L螺旋式电流励磁电铃M密闭管式灭磁灭磁NP平面中频频敏Q起动牵引R熔断
E40767,E48560,1,船舶柴油机故障实例 (张庆信编),78,综合所有泄漏、流失的原因:一是部件(包括管系)的质量差、振动大造成漏泄;二是保养维修不良——不注意检查管接头、法兰螺丝和垫床质量
E40841,E53303,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
E40875,E53433,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",40,"对于阀类元件来说,污垢颗粒会加速磨损,引起振动,使阀芯卡紧"
E40963,E53502,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",62,"$Y_{x}$形密封圈适用于对偶零件有相对直线运动的密封,它的密封性能是靠密封圈长脚唇边口预压缩量贴紧沟槽底面和短脚唇边口预压缩量与相对滑动面接触而密封,在无液体压力的情况下,它的密封性能取决于压缩量,在液体压力作用下,密封圈两唇边张开,并贴紧相对滑动面及沟槽底面,使密封能力提高,同时能补偿磨损"
E40977,E53562,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",73,"将溢流阀徐徐调节到规定压力值,检查溢流阀在调节过程中有无异常现象;检查安全保护装置(例如安全阀、压力继电器)工作的正确性和可靠性,从压力表上观察各油路的压力,并调整安全保护装置的压力值在规定范围内;检查各液压元件及管道的外泄漏、内泄漏是否在允许范围内;并检查油箱液位的变化是否在规定要求之内"
E40999,E49323,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",76,维护系统名称被检查元件名称检查项目检查方法(测量仪器名称)周期次数/期间检查时/运转维护保养基础修理(更换)基准备注电气线路1)电动机绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上按电动机有关标2)控制电路绝缘状况用500$VM\Omega$表测量1/年与地线之间绝缘电阻在10$M\Omega$以上3)橡胶绝缘软线绝缘状况用500$VM\Omega$
E40999,E48560,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E40999,E49038,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E40999,E53593,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E40999,E53596,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
